,Ku-nummer,Transponder-nummer,Idag-1,Idag-2,Igår-1,Igår-2,Tilgjengelig-1,Tilgjengelig-2,Total-1,Total-2
0,9999,023700041260,0.0,0.0,0.0,0.0,1.5,1.5,0.009,0.0
0,1745,023700041745,5.742,0.041,5.994,0.086,0.193,0.455,49.836,0.565
0,1744,023700041744,3.972,0.096,7.38,0.161,1.061,0.8,49.818,0.977
0,1743,023700041743,4.734,0.0,5.934,0.162,0.189,1.022,53.82,0.959
0,1741,023700041741,4.812,0.192,5.352,0.144,0.126,1.111,96.474,1.702
0,1740,023700041740,3.84,0.227,5.058,0.251,0.683,1.144,158.136,3.629
0,1739,023700041739,4.284,0.196,4.638,0.258,0.317,1.166,98.658,4.998
0,1738,023700041738,3.744,0.324,4.08,0.33,0.071,1.222,95.214,3.547
0,1736,023700041736,2.37,0.304,2.922,0.493,0.416,1.3,82.17,6.055
0,1733,023700041733,2.136,0.464,2.718,1.0,0.232,1.344,195.282,15.929
0,1732,023700041732,1.632,0.597,2.64,0.951,0.291,1.366,202.566,17.758
0,1730,000001592193,2.256,0.315,3.198,0.329,0.316,1.433,118.542,11.48
0,1728,023700041728,0.996,0.392,0.996,0.355,0.018,1.439,214.44,10.44
0,9999,023700041260,0.0,0.0,0.0,0.0,1.5,1.5,0.009,0.0
0,1745,023700041745,5.742,0.041,5.994,0.086,0.193,0.455,49.836,0.565
0,1744,023700041744,3.972,0.096,7.38,0.161,1.061,0.8,49.818,0.977
0,1743,023700041743,4.734,0.0,5.934,0.162,0.189,1.022,53.82,0.959
0,1741,023700041741,4.812,0.192,5.352,0.144,0.126,1.111,96.474,1.702
0,1740,023700041740,3.84,0.227,5.058,0.251,0.683,1.144,158.136,3.629
0,1739,023700041739,4.284,0.196,4.638,0.258,0.317,1.166,98.658,4.998
0,1738,023700041738,3.744,0.324,4.08,0.33,0.071,1.222,95.214,3.547
0,1736,023700041736,2.37,0.304,2.922,0.493,0.416,1.3,82.17,6.055
0,1733,023700041733,2.136,0.464,2.718,1.0,0.232,1.344,195.282,15.929
0,1732,023700041732,1.632,0.597,2.64,0.951,0.291,1.366,202.566,17.758
0,1730,000001592193,2.256,0.315,3.198,0.329,0.316,1.433,118.542,11.48
0,1728,023700041728,0.996,0.392,0.996,0.355,0.018,1.439,214.44,10.44
0,9999,023700041260,0.0,0.0,0.0,0.0,1.5,1.5,0.009,0.0
0,1745,023700041745,5.742,0.041,5.994,0.086,0.193,0.455,49.836,0.565
0,1744,023700041744,3.972,0.096,7.38,0.161,1.061,0.8,49.818,0.977
0,1743,023700041743,4.734,0.0,5.934,0.162,0.189,1.022,53.82,0.959
0,1741,023700041741,4.812,0.192,5.352,0.144,0.126,1.111,96.474,1.702
0,1740,023700041740,3.84,0.227,5.058,0.251,0.683,1.144,158.136,3.629
0,1739,023700041739,4.284,0.196,4.638,0.258,0.317,1.166,98.658,4.998
0,1738,023700041738,3.744,0.324,4.08,0.33,0.071,1.222,95.214,3.547
0,1736,023700041736,2.37,0.304,2.922,0.493,0.416,1.3,82.17,6.055
0,1733,023700041733,2.136,0.464,2.718,1.0,0.232,1.344,195.282,15.929
0,1732,023700041732,1.632,0.597,2.64,0.951,0.291,1.366,202.566,17.758
0,1730,000001592193,2.256,0.315,3.198,0.329,0.316,1.433,118.542,11.48
0,1728,023700041728,0.996,0.392,0.996,0.355,0.018,1.439,214.44,10.44
0,9999,023700041260,0.0,0.0,0.0,0.0,1.5,1.5,0.009,0.0
